Education,JoiningYear,PaymentTier,Age,Gender,LeaveOrNot
1,2015,3,26,0,0
1,2018,3,26,0,1
2,2017,2,26,0,1
2,2017,2,28,0,0
1,2018,3,28,0,1
1,2013,3,27,0,1
1,2017,3,28,0,0
1,2015,1,25,0,1
3,2014,3,24,0,0
2,2017,2,27,0,0
2,2015,3,27,0,1
2,2017,2,25,0,0
1,2012,3,27,0,0
1,2015,3,26,0,1
1,2016,3,24,0,1
1,2014,3,28,0,0
1,2014,3,27,0,0
1,2015,3,26,0,1
3,2015,3,25,0,0
2,2017,2,24,0,0
2,2015,3,28,0,0
1,2017,3,24,0,0
2,2015,3,28,0,0
1,2014,3,25,0,1
1,2018,3,26,0,1
1,2017,3,28,0,0
2,2012,3,24,0,1
1,2015,3,26,0,0
2,2017,2,25,0,1
1,2013,2,28,0,1
1,2015,3,24,0,0
1,2015,2,27,0,1
1,2018,3,24,0,1
1,2013,3,27,0,0
1,2013,3,24,0,0
1,2017,3,26,0,0
1,2015,3,24,0,0
1,2012,3,24,0,1
1,2012,2,27,0,1
1,2016,1,26,0,1
1,2015,3,26,0,1
1,2017,3,25,0,0
2,2015,2,25,0,1
1,2017,2,26,0,0
1,2017,3,27,0,0
1,2015,3,24,0,0
2,2017,1,26,0,1
1,2017,1,28,0,0
2,2015,2,25,0,1
1,2014,3,25,0,0
1,2014,1,26,0,1
1,2016,3,28,0,0
1,2018,3,26,0,1
1,2015,2,24,0,1
1,2015,2,25,0,1
1,2015,3,26,0,1
1,2014,2,24,0,1
1,2017,2,28,0,0
1,2015,1,26,0,1
1,2012,3,24,0,0
1,2012,3,26,0,0
1,2016,3,26,0,0
1,2015,2,25,0,1
1,2015,2,26,0,1
2,2015,2,26,0,1
1,2012,3,27,0,0
1,2013,3,27,0,0
1,2013,3,26,0,0
2,2017,2,24,0,1
2,2014,3,28,0,0
1,2015,3,26,0,1
1,2014,3,25,0,0
2,2015,3,24,0,0
2,2013,3,28,0,1
3,2013,2,27,0,0
1,2013,3,24,0,1
1,2015,2,28,0,1
1,2015,2,26,0,1
1,2017,2,28,0,0
2,2012,3,27,0,1
2,2017,3,25,0,1
1,2016,2,24,0,1
1,2012,3,26,0,0
1,2015,2,25,0,1
1,2015,3,26,0,0
3,2015,2,28,0,0
1,2017,3,24,0,0
1,2017,3,25,0,0
1,2016,3,28,0,0
1,2017,2,25,0,1
1,2014,3,28,0,0
1,2017,2,27,0,0
1,2015,3,28,0,0
1,2016,3,24,0,0
1,2012,3,25,0,0
1,2016,3,27,0,0
2,2015,2,24,0,0
2,2014,3,24,0,1
2,2017,2,26,0,0
1,2018,3,28,0,1
2,2017,2,25,0,1
2,2013,3,25,0,0
2,2015,3,28,0,0
1,2015,2,27,0,1
2,2014,2,27,0,0
2,2015,1,27,0,0
1,2012,2,26,0,1
1,2014,3,28,0,1
1,2015,2,28,0,1
1,2017,3,24,0,0
1,2016,3,27,0,1
1,2017,3,28,0,0
1,2014,3,25,0,0
1,2017,2,25,0,1
1,2017,2,26,0,1
2,2015,3,28,0,0
1,2016,3,25,0,0
2,2017,2,26,0,0
2,2012,2,26,0,0
1,2018,3,28,0,1
2,2015,2,28,0,0
2,2015,3,24,0,1
1,2015,2,24,0,1
1,2017,3,27,0,1
1,2014,1,26,0,1
2,2017,2,26,0,0
1,2014,3,28,0,0
1,2014,3,25,0,1
1,2015,2,28,0,1
2,2017,2,24,0,1
1,2015,1,25,0,0
1,2015,2,24,0,1
1,2016,3,27,0,0
2,2016,3,25,0,1
1,2018,3,24,0,1
1,2015,3,25,0,1
1,2014,3,28,0,0
1,2016,3,26,0,0
2,2017,2,28,0,0
1,2014,2,25,0,1
1,2016,3,28,0,0
1,2014,3,28,0,0
